Timestamp,US01M,US03MY,US02Y,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,TIP,TIP_Vol,TIPS,TIPS_Vol,VIX,DJT,DJT_Vol,XLE,XLE_Vol,XLF,XLF_Vol,XLI,XLI_Vol,XLK,XLK_Vol,XLP,XLP_Vol,XLU,XLU_Vol,XLV,XLV_Vol,XLY,XLY_Vol,VIX,VIX3M,VIX9D,VVIX,UVIX,UVIX_Vol,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,1/VOLX_Vol,VIXM/VIXY,VIXM/VIXY_Vol,XLY*XLK/(XLP*XLU),XLY*XLK/(XLP*XLU)_Vol,ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,HYG/UB1!_Vol,6A1!,6A1!_Vol,6B1!,6B1!_Vol,6C1!,6C1!_Vol,6E1!,6E1!_Vol,6J1!,6J1!_Vol,6S1!,6S1!_Vol,CL1!,CL1!_Vol,CL2!,CL2!_Vol,HG1!,HG1!_Vol,PL1!,PL1!_Vol,SI1!,SI1!_Vol,GC1!,GC1!_Vol,ES1!,ES1!_Vol,NG1!,NG1!_Vol,YM1!,YM1!_Vol,RTY1!,RTY1!_Vol,ZT1!,ZT1!_Vol,ZF1!,ZF1!_Vol,ZN1!,ZN1!_Vol,ZB1!,ZB1!_Vol,UB1!,UB1!_Vol,RB1!,RB1!_Vol,RB2!,RB2!_Vol
2023:11:13 13:28:39,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-10.0,-52.0,-11,566,-532503.0,0.06662225183211193,1929.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,438.0,0.6331605663905958,35604143.0,0.6377,36017.0,1.2252,32775.0,0.72345,11681.0,1.06825,62159.0,0.0066245,54837.0,1.10915,4741.0,77.2,56106.0,77.18,22941.0,3.6235,46265.0,852.6,11056.0,22.15,17676.0,1939.0,62789.0,4421.5,163591.0,3.168,28078.0,34287.0,22396.0,1705.8,19899.0,101.2109375,131580.0,104.90625,238001.0,107.296875,330816.0,113.0,78038.0,116.96875,40876.0,2.1868,3108.0,2.1644,3851.0
2023:11:13 13:28:40,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-18.0,-55.0,-11,566,-534099.0,0.06662225183211193,1929.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,438.0,0.6331605663905958,35604143.0,0.6377,36017.0,1.2252,32775.0,0.72345,11681.0,1.0683,62174.0,0.0066245,54851.0,1.10915,4741.0,77.2,56106.0,77.18,22941.0,3.6235,46265.0,852.6,11056.0,22.155,17677.0,1939.0,62790.0,4421.75,163593.0,3.169,28082.0,34287.0,22396.0,1705.8,19899.0,101.2109375,131580.0,104.90625,238001.0,107.296875,330816.0,113.0,78038.0,116.96875,40876.0,2.1868,3108.0,2.1644,3851.0
2023:11:13 13:28:42,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-18.0,-55.0,-11,566,-534099.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,439.0,0.6331605663905958,35604143.0,0.6377,36017.0,1.2252,32775.0,0.72345,11681.0,1.0683,62226.0,0.0066245,54890.0,1.10915,4741.0,77.2,56106.0,77.18,22941.0,3.624,46267.0,852.7,11057.0,22.155,17677.0,1939.0,62790.0,4421.75,163602.0,3.169,28083.0,34287.0,22396.0,1705.8,19899.0,101.2109375,131580.0,104.90625,238001.0,107.296875,330816.0,113.0,78038.0,116.96875,40876.0,2.1868,3108.0,2.1644,3851.0
2023:11:13 13:28:43,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-11.0,-52.0,-11,566,-534877.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,439.0,0.6331605663905958,35604143.0,0.6377,36017.0,1.2252,32775.0,0.72345,11681.0,1.06835,62236.0,0.0066245,54890.0,1.10915,4741.0,77.2,56115.0,77.18,22943.0,3.624,46270.0,852.7,11057.0,22.155,17677.0,1939.1,62792.0,4421.75,163603.0,3.17,28106.0,34287.0,22396.0,1705.9,19900.0,101.2109375,131580.0,104.90625,238001.0,107.296875,330816.0,113.0,78038.0,116.96875,40876.0,2.1868,3108.0,2.1644,3851.0
2023:11:13 13:28:44,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-11.0,-52.0,-11,566,-534877.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,439.0,0.6331605663905958,35604143.0,0.63775,36019.0,1.2252,32775.0,0.72345,11681.0,1.06835,62253.0,0.0066245,54890.0,1.10915,4741.0,77.2,56115.0,77.18,22943.0,3.6245,46278.0,852.7,11058.0,22.155,17678.0,1939.1,62792.0,4421.75,163611.0,3.171,28107.0,34287.0,22396.0,1705.9,19901.0,101.2109375,131590.0,104.9140625,238251.0,107.296875,330816.0,113.0,78038.0,117.0,40922.0,2.1873,3109.0,2.1644,3851.0
2023:11:13 13:28:46,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.04,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.04,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-11.0,-52.0,-11,566,-534877.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,439.0,0.632991452991453,35604248.0,0.63775,36032.0,1.2252,32775.0,0.7235,11698.0,1.06835,62266.0,0.0066245,54890.0,1.10915,4742.0,77.19,56116.0,77.18,22943.0,3.6245,46283.0,852.7,11058.0,22.155,17678.0,1939.1,62809.0,4421.75,163640.0,3.17,28108.0,34290.0,22397.0,1705.9,19901.0,101.21484375,131593.0,104.9140625,238492.0,107.3125,330821.0,113.03125,78188.0,117.0,40981.0,2.1873,3109.0,2.1644,3851.0
2023:11:13 13:28:46,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-6.0,-53.0,-11,566,-534646.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,201.0,438.0,0.632991452991453,35604248.0,0.63775,36032.0,1.2252,32775.0,0.7235,11698.0,1.06835,62266.0,0.0066245,54890.0,1.10915,4742.0,77.19,56116.0,77.18,22943.0,3.6245,46283.0,852.7,11058.0,22.155,17678.0,1939.1,62809.0,4421.75,163640.0,3.17,28108.0,34290.0,22397.0,1705.9,19901.0,101.21484375,131593.0,104.9140625,238492.0,107.3125,330821.0,113.03125,78188.0,117.0,40981.0,2.1873,3109.0,2.1644,3851.0
2023:11:13 13:28:48,5.29,5.426,5.064,4.682,4.65,4.978,4.767,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-6.0,-53.0,-11,566,-534646.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,201.0,438.0,0.632991452991453,35604248.0,0.63775,36032.0,1.2252,32775.0,0.7235,11698.0,1.06835,62266.0,0.0066245,54890.0,1.10915,4742.0,77.2,56117.0,77.18,22943.0,3.6245,46283.0,852.7,11058.0,22.155,17678.0,1939.1,62809.0,4422.0,163649.0,3.17,28108.0,34291.0,22399.0,1706.1,19903.0,101.21484375,131594.0,104.9140625,238615.0,107.3125,330825.0,113.03125,78237.0,117.0,40981.0,2.1873,3109.0,2.1644,3851.0
2023:11:13 13:28:49,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-17.0,-61.0,-11,566,-540107.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,440.0,0.632991452991453,35604248.0,0.6378,36033.0,1.2252,32777.0,0.7235,11698.0,1.0684,62274.0,0.0066245,54890.0,1.1092,4743.0,77.2,56118.0,77.18,22944.0,3.6245,46283.0,852.7,11058.0,22.155,17678.0,1939.1,62809.0,4422.0,163661.0,3.171,28119.0,34291.0,22399.0,1706.1,19903.0,101.21484375,131600.0,104.9140625,238615.0,107.3125,330825.0,113.03125,78237.0,117.0,40981.0,2.1873,3110.0,2.1649,3852.0
2023:11:13 13:28:51,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-17.0,-61.0,-11,566,-540107.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,440.0,0.632991452991453,35604248.0,0.6378,36046.0,1.2252,32788.0,0.7235,11698.0,1.0684,62274.0,0.0066245,54890.0,1.1092,4743.0,77.2,56118.0,77.19,22949.0,3.6245,46283.0,852.7,11058.0,22.155,17678.0,1939.1,62809.0,4422.0,163667.0,3.171,28148.0,34291.0,22399.0,1706.1,19903.0,101.21484375,131602.0,104.9140625,238615.0,107.3125,330825.0,113.03125,78237.0,117.0,40981.0,2.1873,3116.0,2.1649,3853.0
